text,direction,pred_idx,pred_label,pred_label_cn,confidence,prob_left,prob_right,prob_bidirectional,route_final,p_nonleft
实验结束，报告随即起草。,left,0,left,左向(因果),0.9972641468048096,0.9972641468048096,0.0019669814500957727,0.0007687779725529253,forward,0.002735759422648698
因为系统升级，今晚暂停结算。,left,0,left,左向(因果),0.9961099028587341,0.9961099028587341,0.0032203258015215397,0.0006697639473713934,forward,0.003890089748892933
我到站后，直接换乘机场快线。,left,0,left,左向(因果),0.9969756603240967,0.9969756603240967,0.0023858852218836546,0.0006384006119333208,forward,0.0030242858338169754
指标回到阈内，灰度逐步放大。,left,0,left,左向(因果),0.9954838752746582,0.9954838752746582,0.0033596025314182043,0.0011565210297703743,forward,0.004516123561188579
"The alert fired, then we rolled back.",left,0,left,左向(因果),0.9957576394081116,0.9957576394081116,0.003570282133296132,0.0006721476092934608,forward,0.004242429742589593
通过代码审查，风险已解除。,left,0,left,左向(因果),0.995935320854187,0.995935320854187,0.003354567801579833,0.0007100559887476265,forward,0.00406462379032746
需求确定后，我们锁版本。,left,0,left,左向(因果),0.9969563484191895,0.9969563484191895,0.002241288311779499,0.0008022836991585791,forward,0.003043572010938078
为避免性能回退，先关闭新特性。,left,0,left,左向(因果),0.98800128698349,0.98800128698349,0.0058177774772048,0.006180908065289259,forward,0.011998685542494059
大家都松了口气——原来是误报。,right,1,right,右向(反因果),0.9920514822006226,0.006145933642983437,0.9920514822006226,0.0018025964964181185,bidir,0.9938540786970407
他这周都没来上班，后来才知道在陪产。,right,1,right,右向(反因果),0.9920122027397156,0.006421786732971668,0.9920122027397156,0.0015660609351471066,bidir,0.9935782636748627
报告写了一半，事实证明数据源就是错的。,right,1,right,右向(反因果),0.984408438205719,0.012223606929183006,0.984408438205719,0.003367957891896367,bidir,0.9877763960976154
We canceled the launch—turns out the cert had expired.,right,1,right,右向(反因果),0.9911584258079529,0.007815437391400337,0.9911584258079529,0.0010261639254167676,bidir,0.9921845897333696
终于明白为何延迟升高：是限流策略触发了。,right,1,right,右向(反因果),0.9904448390007019,0.00824880413711071,0.9904448390007019,0.0013064254308119416,bidir,0.9917512644315138
结果并不理想，进一步分析发现是脏数据。,right,1,right,右向(反因果),0.9899986386299133,0.007898310199379921,0.9899986386299133,0.0021030877251178026,bidir,0.9921017263550311
What a relief! The outage was only in the sandbox.,right,1,right,右向(反因果),0.9815417528152466,0.017104128375649452,0.9815417528152466,0.001354167703539133,bidir,0.9828959205187857
指标没变，说明优化并未生效。,right,1,right,右向(反因果),0.9715125560760498,0.020864181220531464,0.9715125560760498,0.007623213808983564,bidir,0.9791357698850334
虽然延迟上升，但吞吐保持稳定。,bidirectional,2,bidirectional,双向,0.9974668025970459,0.0014821594813838601,0.0010510084684938192,0.9974668025970459,bidir,0.9985178110655397
既要保住SLA，又不能超预算。,bidirectional,2,bidirectional,双向,0.9970459342002869,0.0017354751471430063,0.0012186766834929585,0.9970459342002869,bidir,0.9982646108837798
部署照常进行，除非风速超标。,bidirectional,2,bidirectional,双向,0.9966051578521729,0.002100646961480379,0.0012941709719598293,0.9966051578521729,bidir,0.9978993288241327
"Not only did we fix latency, we also cut costs.",bidirectional,2,bidirectional,双向,0.9972829818725586,0.0014617640990763903,0.0012552066473290324,0.9972829818725586,bidir,0.9985381885198876
他很严格，却也很公正。,bidirectional,2,bidirectional,双向,0.9971728324890137,0.0017021247185766697,0.001125035691075027,0.9971728324890137,bidir,0.9982978681800887
成本下降，同时质量必须不受影响。,bidirectional,2,bidirectional,双向,0.9966731071472168,0.0020401363726705313,0.001286697806790471,0.9966731071472168,bidir,0.9979598049540073
可以合并发布，但需要灰度两周。,bidirectional,2,bidirectional,双向,0.6056364178657532,0.38581278920173645,0.008550809696316719,0.6056364178657532,bidir,0.6141872275620699
我们继续推进，不过必须先补齐用例。,bidirectional,2,bidirectional,双向,0.9839161038398743,0.013616293668746948,0.002467632992193103,0.9839161038398743,bidir,0.9863837368320674
