"text","direction"
"我们分析了用户反馈，接着便调整了产品路线图。","left"
"他看起来很疲惫，原来是昨晚通宵调试代码了。","right"
"旧系统难以维护，而新架构则提供了更好的扩展性。","bidirectional"
"会议一结束，我就立刻去更新项目文档。","left"
"那个指标突然飙升，我们后来才知道是底层依赖库更新导致的。","right"
"一方面要压缩成本，另一方面又不能牺牲产品质量。","bidirectional"
"物流系统收到订单，随后仓库开始配货。","left"
"他今天没来上班，一问才知是家里有急事。","right"
"虽然模型A精度很高，但模型B的推理速度更快。","bidirectional"
"用户点击了“购买”按钮，系统便开始处理支付请求。","left"
"报告里有个数据对不上，直到他发来原始日志才真相大白。","right"
"小张负责UI设计，小王则负责后端的实现。","bidirectional"
"雨停了，接着彩虹就出来了。","left"
"大家起初都以为是网络问题，结果排查发现是数据库锁表了。","right"
"方案一虽然保守，但胜在稳定可靠。","bidirectional"
"收到预警信号，操作员立即按下了紧急停止按钮。","left"
"那台服务器突然离线，事后分析是电源故障。","right"
"这个功能不仅提升了用户体验，也带来了更高的转化率。","bidirectional"
"传感器检测到温度异常，系统自动触发了降温程序。","left"
"他为什么突然离职，我也是看内部通告才知道的。","right"
"尽管需求文档很详细，但开发过程中还是遇到了不少意外。","bidirectional"
"交通灯变绿，车辆开始缓慢通过路口。","left"
"前半场比赛打得非常沉闷，直到下半场换人后才有了转机。","right"
"既要保证功能的完整性，也要考虑界面的简洁性。","bidirectional"
"完成初步设计后，团队开始了编码阶段。","left"
"我本以为只是个小感冒，检查后医生却说是流感。","right"
"与其盲目增加功能，不如先把核心体验打磨好。","bidirectional"
"他提交了辞职报告，然后开始交接工作。","left"
"那家餐厅总是排长队，后来才知道是请了网红博主宣传。","right"
"这份报告数据详实，然而结论却有些草率。","bidirectional"
"打印机卡纸了，我重启了一下它就好了。","left"
"他拒绝了那个offer，据说是薪资没谈拢。","right"
"对于初学者来说，Python更容易上手；而C++则性能更强。","bidirectional"
"运动员听到发令枪响，随即冲出了起跑线。","left"
"系统日志里全是乱码，直到我切换了编码格式才恢复正常。","right"
"虽然我们尽了最大努力，但项目还是延期了。","bidirectional"
"我把文件保存到桌面然后关闭了电脑。","left"
"他突然沉默不语，我们猜测是他想起了伤心事。","right"
"一方面是客户的紧急需求，另一方面是团队的开发资源紧张。","bidirectional"
"老师讲完了概念，接着就开始演示示例代码。","left"
"大家都很困惑，毕竟这个决定太突然了。","right"
"这个算法在小数据集上表现很好，但在大数据集上就捉襟见肘了。","bidirectional"
"警报解除，工人们于是返回了工作岗位。","left"
"起初以为只是软件冲突，最后定位到是硬件兼容性问题。","right"
"尽管过程充满挑战，结果总算是令人满意的。","bidirectional"
"烤箱预热完毕，她把蛋糕放了进去。","left"
"屏幕突然黑了，原来是电源线松动了。","right"
"与其追求功能的堆砌，不如专注解决用户的核心痛点。","bidirectional"
