text,direction,pred_direction,pred_direction_cn,confidence,prob_left,prob_right,prob_bidirectional,route_final,p_nonleft
因为昨晚熬夜看书，所以现在太困了,left,left,正向因果(A→B),0.988,0.988,0.011765,0.0003295,forward,0.01209259033203125
因为昨晚熬夜看书，现在太困了,left,right,反向因果(A←B),0.953,0.0461,0.953,0.000579,bidir,0.95361328125
因为服务器过载，所以所有请求都超时了,left,left,正向因果(A→B),0.987,0.987,0.01284,0.000321,forward,0.01316070556640625
因为服务器过载，所有请求都超时了,left,right,反向因果(A←B),0.5146,0.4834,0.5146,0.001806,bidir,0.5166015625
由于天气恶劣，航班被取消了,left,left,正向因果(A→B),0.995,0.995,0.004814,0.0001738,forward,0.0049896240234375
由于天气恶劣，因此航班被取消了,left,left,正向因果(A→B),0.9946,0.9946,0.005127,0.0002129,forward,0.005340576171875
因为数据格式不匹配，解析任务失败了,left,right,反向因果(A←B),0.998,0.001885,0.998,1.01e-05,bidir,0.998046875
由于上游服务中断，我们的系统也宕机了,left,right,反向因果(A←B),0.947,0.04663,0.947,0.006577,bidir,0.953125
因为他准备充分，面试非常顺利,left,left,正向因果(A→B),0.823,0.823,0.1692,0.007584,forward,0.1767578125
由于规则调整，这个功能暂时下线了,left,left,正向因果(A→B),0.9277,0.9277,0.0707,0.001509,forward,0.07220458984375
因为需求突然变更，开发计划被打乱了,left,right,反向因果(A←B),0.9956,0.004128,0.9956,4.184e-05,bidir,0.99560546875
因为堵车，他今天上班迟到了,left,right,反向因果(A←B),0.7764,0.2218,0.7764,0.001858,bidir,0.7783203125
由于预算削减，那个项目被搁置了,left,left,正向因果(A→B),0.9917,0.9917,0.00811,0.0002425,forward,0.00835418701171875
因为下大雨，所以今天的室外活动取消了,left,left,正向因果(A→B),1.0,1.0,0.0002062,1.216e-05,forward,0.00021839141845703125
由于缺乏关键证据，该指控无法成立,left,right,反向因果(A←B),0.6606,0.3347,0.6606,0.00478,bidir,0.66552734375
因为他工作努力，所以得到了老板的表扬,left,left,正向因果(A→B),0.7373,0.7373,0.2566,0.005978,forward,0.262451171875
由于系统正在升级，部分功能暂时不可用,left,right,反向因果(A←B),0.6357,0.3599,0.6357,0.004524,bidir,0.64013671875
因为病毒传播，学校决定开始线上授课,left,left,正向因果(A→B),0.9663,0.9663,0.03287,0.000612,forward,0.033477783203125
因为连续加班，他的身体亮起了红灯,left,left,正向因果(A→B),0.9844,0.9844,0.01536,0.0004015,forward,0.0157623291015625
由于市场需求下降，公司调整了生产计划,left,left,正向因果(A→B),0.954,0.954,0.0416,0.00453,forward,0.046142578125
因为忘记带钥匙，他被锁在了门外,left,left,正向因果(A→B),0.9946,0.9946,0.005234,0.0001286,forward,0.00536346435546875
因为代码存在bug，导致了内存泄漏,left,left,正向因果(A→B),0.557,0.557,0.4407,0.002037,forward,0.442626953125
由于材料短缺，工厂的生产线停工了,left,left,正向因果(A→B),0.977,0.977,0.02176,0.001185,forward,0.02294921875
因为客户投诉，产品经理连夜修改了方案,left,right,反向因果(A←B),0.622,0.3757,0.622,0.002356,bidir,0.62451171875
由于信号不好，通话突然中断了,left,right,反向因果(A←B),0.931,0.0662,0.931,0.002497,bidir,0.93359375
因为今天放假，所以商场里人特别多,left,left,正向因果(A→B),0.9995,0.9995,0.000416,2.56e-05,forward,0.00044155120849609375
